title,box_off_num
고백,66746.76484743843
미쓰 와이프,2472064.933333333
위로공단,12826.442514340273
베테랑,2389259.4653968257
악인은 살아 있다,23833.358656141707
쓰리 썸머 나잇,745423.7468376069
마돈나,56952.78811245854
"나의 아들, 나의 어머니",1926602.3346234397
슬픈남자,11702.903323883955
타이밍,12582.57951765558
타투,35844.47545324744
어떤이의 꿈,11742.804938157531
해에게서 소년에게,329188.1536422913
울보 권투부,12826.442514340273
어떤살인,191498.96430861377
말하지 못한 비밀,12798.624015578214
조선안방 스캔들-칠거지악 2,12826.442514340273
